time,date,room,activity,cource
13:00,23/09/2016,MP 388,Optional IT Induction Sessions,Digital Media Technology
13:00,23/09/2016,MP 388,Optional IT Induction Sessions,Film Production Technology
13:00,23/09/2016,MP 388,Optional IT Induction Sessions,Film Technology and Visual Effects
13:00,23/09/2016,MP 388,Optional IT Induction Sessions,Music Technology
13:00,23/09/2016,MP 388,Optional IT Induction Sessions,Sound Engineering and Production
14:00,23/09/2016,Eagle and Ball Pub,The SSA Welcome Week Pub Quiz,Digital Media Technology
14:00,23/09/2016,Eagle and Ball Pub,The SSA Welcome Week Pub Quiz,Film Production Technology
14:00,23/09/2016,Eagle and Ball Pub,The SSA Welcome Week Pub Quiz,Film Technology and Visual Effects
14:00,23/09/2016,Eagle and Ball Pub,The SSA Welcome Week Pub Quiz,Music Technology
14:00,23/09/2016,Eagle and Ball Pub,The SSA Welcome Week Pub Quiz,Sound Engineering and Production
09:30,19/09/2016,Auditorium,Faculty Welcome Talk,Mechanical Engineering Group 1
11:00,19/09/2016,MP 452,Programme Leaders Talk,Mechanical Engineering Group 1
12:15,19/09/2016,MP 036/037,Health & Safety Induction,Mechanical Engineering Group 1
13:00,19/09/2016,--,Break,Mechanical Engineering Group 1
14:15,19/09/2016,MP 046,Student Success Advisor,Mechanical Engineering Group 1
15:15,19/09/2016,MP 020,IMechE,Mechanical Engineering Group 1
09:30,19/09/2016,Auditorium,Faculty Welcome Talk,Mechanical Engineering Group 2
11:00,19/09/2016,Mp 452,Programme Leaders Talk,Mechanical Engineering Group 2
12:15,19/09/2016,MP 020,ImechE,Mechanical Engineering Group 2
13:15,19/09/2016,MP 036/037,Health & Safety Induction,Mechanical Engineering Group 2
14:00,19/09/2016,--,Break,Mechanical Engineering Group 2
15:15,19/09/2016,MP 046,Student Success Advisor,Mechanical Engineering Group 2
09:30,19/09/2016,Auditorium,Faculty Welcome Talk,Automotive Engineering
11:00,19/09/2016,MP452,Programme leaders Talk,Automotive Engineering
12:15,19/09/2016,MP046,Student Success Advisor,Automotive Engineering
13:15,19/09/2016,MP020,IMechE,Automotive Engineering
14:15,19/09/2016,MP036/037,Health & Safety Induction,Automotive Engineering
09:30,19/09/2016,Auditorium,Faculty Talk,Foundation Year Group 1 
11:00,19/09/2016,MP036/037,Introduction to the IMechE,Foundation Year Group 1 
12:00,19/09/2016,Lunch,Lunch,Foundation Year Group 1 
13:00,19/09/2016,MP452,Programme leaders Talk,Foundation Year Group 1 
14:15,19/09/2016,MP046,Student Success Advisor,Foundation Year Group 1 
15:15,19/09/2016,MP046,Health & Safety Induction,Foundation Year Group 1 
09:30,19/09/2016,Auditorium,Faculty Talk,Foundation Year Group 2
11:00,19/09/2016,MP 046,Health & Safety Induction,Foundation Year Group 2
12:00,19/09/2016,Lunch,Lunch,Foundation Year Group 2
13:00,19/09/2016,MP 452,Programme Leaders Talk,Foundation Year Group 2
14:15,19/09/2016,MP 036/037,Introduction to the IMechE,Foundation Year Group 2
15:15,19/09/2016,MP 046,Student Success Advisor,Foundation Year Group 2
09:30,19/09/2016,Auditorium,Faculty Talk,Electronic Engineering
11:00,19/09/2016,MP053/054,Programme Leaders Talk,Electronic Engineering
12:00,19/09/2016,Lunch,Lunch,Electronic Engineering
13:15,19/09/2016,MP 046,Student Success Advisor,Electronic Engineering
14:15,19/09/2016,MP053/054,IET,Electronic Engineering
15:15,19/09/2016,MP053/054,Health & Safety Induction,Electronic Engineering
